Gh'éra öna ölta C'era una volta
öna tuśa    una ragazza
öna laźźaruna, öna laźźaruna!	tanto lazzarona
pò a' chèl al vuléå bastunàl	anche quello voleva bastonarlo
— ma ói de dì che mé gliùrå?	— allora cosa devo dire?
— l'èhet en bócå!	— l'avessi in bocca!
al pàhå fò	passa
'n d'ünå strentulì d'ünå cà	per la strettoia di una casa
gh'è hö jü che	c'è uno
'l fà 'l sò mistér	che fa il suo bisogno
— l'èhet en bócå!	— l'avessi in bocca!
— hé èh	— ah
ma harà 'l śöch	ne varrebbe la pena
ca la spühå pà a' póch!	puzza così poco!
— e gliùrå ś' diśei che dócå?	— allora cosa devo dire?
— fühei fò tüddù!	— fossero fuori tutti e due!
fühei fò tüddù!	— fossero fuori tutti e due!
'l pàhå fò 'n dol albèrgo	passa da un albergo
'l ghe n'è fò jü	c'è uno
śguérs	con un occhio solo
e lü 'l và là menando amò:	e lui va ancora dicendo:
— fühei fò tüddü!	— fossero fuori tutti e due!
fühei fò tüddü!	fossero fuori tutti e due! —
— eéh! —	— eh! —
gli à menàt ol parculì höl có	gli ha picchiato il bastoncino sulla testa
— n'ó ahé de jü!	— ne ho abbastanza di uno!
fühei fò tüddü gliùrå hó apòht dol tüt!	se fossero fuori tutti e due, sarei a posto del tutto!
— ma ói de dì che mé gliùrå?	— allora cosa devo dire?
— födèhei déter tüddü!	— fossero dentro tutti e due!
födèhei déter tüddü!	— fossero dentro tutti e due!
e gliùrå	poi
l'è pahàt fò	è passato
'n dol puntiśì	dal ponticello
dol Rì	del Ri
e g'érå fò	erano fuori
che i trà-å hö ün àśen	stavano tirando fuori un asino
gh'érå dù àśegn	ne avevano due
giü l'érå ulàt gió	uno era caduto
dol pùt	dal ponte
e chèl óter l'érå höl pùt	e l'altro era sul ponte
lùr g'érå dré e tràl sö	— loro erano dietro a tirarlo su
— födèhei déter tüddü!	fossero dentro tutti e due!
födèhei déter tüddü!	fossero dentro tutti e due!
— éh cèrto!	— ah certo
'n ghe n'à ahé de jü! —	ce ne basta uno! —
e i érå jó ch'i la trà-å hö	stavano tirandolo su
'ste póer màrter strafelàc nèh!	trafelati
ma	ma
pòtå 'l capìå nogót lü	lui non capiva niente
l'érå mìå just	non era normale
i gh'à dàt ün	gli han dato
pè 'n dol cül	un calcio in culo
— pàha jó, 'à jó 'n dol tò mulì!	— vattene al mulino
fà maśnà la tò farìnå!	a far macinare la tua farina!
i à maśnàt la farìnå	gli hanno macinato la farina
dòpo l'è 'gnìt en sö	è tornato indietro
ma la hérå èh	poi di sera
lungo la vìå	per la strada
l'è 'gnìt en sö piàn pianino	pian pianino
'm pó hö dré e la vià	per la strada
'l gh'érå la lünå	c'era la luna
col sachilì de farìnå	col sacchetto di farina
e dòpo	e quindi
pòtå cèrto 'l gh'érå l'ómbra nèh	dietro aveva la sua ombra
— tè	— te
fradèl!	— fratello!
pórtel em pó a' té 'l tò hachèl	porta un po' anche tu il sacchetto
che mé hó stüf! —	che io sono stanco! —
ah lü	lui
'l respundìt mìå	non gli ha risposto
'l gh'érå gnàch	non c'era
ål gh'érå mìå	non c'era
pòtå l'érå la hò ómbrå	era la sua ombra
ah lü 'l sa mu-ìa mìå	che di certo non si muoveva
a l'è 'ndàt là 'm pó e pò	il ragazzo è andato avanti un po'
plànfete!	planfete!
al l'à bütàt śó höl mür	poi ha buttato il sacco sul muro:
— edès se to ö töl sö	— adesso se vuoi
te l' töet sö	lo prendi
he de nò	altrimenti
ah mé 'l pórte 'n sö mìå —	io non lo porto! —
'ndà-å là lü, 'ndà-å là a' chèl óter	lui s'è avviato e anche l'altro
l'è ri-àt sö 'n cà cóla màmå	è arrivato in casa dalla mamma
— éh ma té!	— ma
l'ét pò mìå rüspàdå la farìnå	non hai portato la farina
da fà i fregaröi	per fare i fregaròli?
che 'm è ché stìnch ed la fàm?	siamo morti di fame
— al pödéå pò tölå hö a' lü che gli ó dìt!	— poteva prenderla lui, gliel'ho detto!
ma lü 'l l'à mìa tödå hö	ma lui non l'ha presa
— ma lü 'l s'è mìå mu-ìt de ché èh	— lui non s'è mosso di qui
ål gh'érå mìå lü!	non c'era
— ah pòtå	— ah
gli ó dìt	gli ho detto
« tölå hö 'm pó a' té »	« prendila un po' anche tu »
— edès — l'à dìt — te turnet endré	— adesso torni indietro
te 'ndé jó e tölå	vai a prenderla
he to ö hénå	se vuoi cenare
he nò te 'ndé 'n dol lèt sènså hénå	altrimenti vai a letto senza cena
lé l'à raspàt fò 'l sò bèl	lei ha grattato
scrignulì d'la farìnå	in fondo al paniere
töt sö tüt chèl ca l'à ciapàt	tutto quello che ha potuto
de fà i fregaröi	per fare i fregaròli
'ta l'è 'gnìt	il ragazzo è arrivato
l'éa fàt i hò fregaröi	lei ha fatto i fregaròli
e po' dòpo	poi
la i à minestrài fò	li ha messi nel piatto
la l'à cahàt	e ha cacciato il ragazzo
'n fónta la hcàlå	in fondo alla scala:
— 'à fogliò	— vai là
a mangià la tò minèstrå! —	a mangiare la tua minestra! —
dòpo:	poi lui dice:
— màmå	— mamma
i fregaröi	i fregaròli
gh'ài i pé?	hanno i piedi?
— éh, 'à là, 'à là matahì	— va là mattacchione
ghe n'à mìå de pé	non hanno piedi!
— màmå	— mamma
fregaröi	i fregaròli
gh'ài li oréje?	hanno le orecchie?
— fregaröi i ghe n'à mìa de oréje	— non ne hanno!
— màmå	— mamma,
i fregaröi	i fregaròli
gh'ài sö 'l pél? —	hanno il pelo —
pòtå gliùrå l'è 'ndàdà fò e ardà	allora lei è andata a guardare
i érå huriśì	erano topolini
dopo	dopo
la matìnå:	al mattino:
— edès — la dìs —	— adesso
te 'ndé hö	vai
hö 'n di càp sö ché	nei campi
e tènde i uśéi	a badare agli uccelli
e hèntet gió högliò che ali nöf	siediti là che alle nove
i vé	arriveranno
e becàm gió 'l furmét —	a beccare il frumento —
la gh'éå hö 'l furmét essé bèl!	lei aveva un frumento tanto bello!
l'è nàt en sö	il ragazzo è andato
aàh lü 'l gh'è stàt sö	è rimasto là
l'à töt sö 'l sò pudèt	ha preso il falcetto
teàt gió ünå bèlå bachètå lóngå	ha tagliato una bella bacchetta lunga
e pò dopo	poi
'l s'è hentàt gió högliò	si è seduto
i uśèi è mìå 'gnìc	gli uccelli non sono venuti
l'è 'gnìt sà 'l vènto	invece è arrivato il vento
e 'l furmét	e il frumento
e flìmf	e flimf
e flàmf	e flamf
l'eśbatéå	e sbatteva
li spighe de hà e de là	le spighe di frumento di qua e di là
e lü 'l gi à dìt essè: — tè	lui ha detto:
estét trìch	— stai fermo? —
u mìå? —	o no?
ah pòtå 'l furmét ål capìå mìa èh	ma il frumento non capiva
e 'l ge l'à dìt ünå óltå	gliel'ha detto una seconda volta:
— edès al la diśe chèlå di dói	— adesso te lo dico per la seconda volta
he te hté trìch	se stai fermo
béh con béne	bene
he te hté mìa trìch	altrimenti
te edaré pò! —	vedrai! —
ah lü 'l fà-å amó 'l sò mistér	ma il frumento continuava
la tèrså óltå	la terza volta
ål s'è leàt	si è alzato
cóla hò bachètå	con la sua bacchetta
e frìmf!	e frimf!
e fràmf!	e framf!
śbatìt già tüte li spighe	ed ha abbattuto tutte le spighe
dòpo l'è 'gnìt e cà	poi è tornato a casa
« 'l sùnå 'l meśdé	« suona il mezzogiorno
me che àe jó a diśnà »	devo andare a pranzare »
— g'ét tendìc i uśéi?	— hai badato agli uccelli?
éi 'gnìc?	sono venuti?
— ah i uśéi 'esta matìnå — 'l dìs —	— stamattina gli uccelli
g'è mìa 'gnìc	non sono arrivati
e lü 'l furmét — ål dìs —	ma si vede che il frumento
hégn che l'érå màt	era matto
metìt dré e śbate li spighe de hà e de là	le spighe s'erano messe a sbattere di qua e di là
e mé ó brancàt la bachètå	allora io ho afferrato la bacchetta
l'ó bacàt	l'ho picchiato
ma de hàntå reśù!	di santa ragione
ah 'l se möf piö lü èh!	non si muove più!
— me l'ét fata ünà amò	— ne hai fatta ancora una
de 'nvérså?	all'incontrario?
— a éå	— e quella
al pödéå pò capìlå che gli ó dìt	— poteva capirla, gliel'avevo detto
e capìlå mìå	non l'ha capita
e mé l'ó bacàt —	poi ho dovuto picchiarlo —
tüte li spighe jó 'n térå	tutte le spighe erano in terra
pu-arètå a' lé che érå 'ssè pu-arèt!	poveretta anche lei! erano così in miseria!
la l'à fle-elàt	l'ha bastonato
de hàntå reśù:	di santa ragione
— dumà de matìnå te 'ndé jó e tènde li galine	— domani mattina andrai a badare alle galline
al gh'è jó la clòhå cói pu-ì	c'è la chioccia coi pulcini
jó hót el paìs	in fondo al paese
pòtå	pota
lü l'è 'ndàt en gió	è andato
e lü l'à töt sö ü spàch	ha preso uno spago
ma la màmå	ma la mamma
la 'l séå mìå	non sapeva
chèl che l'éå	quello che aveva
'n cràpå de fa	in testa di fare
e lü	lui
l'à ciapàt i pu-ì	ha afferrato i pulcini
e 'l gi à büśàt ol bèch	e ha bucato a tutti il becco
pò 'l gi à 'nfilàt tüc quànc	poi li ha infilati sullo spago
chèl biànch ål l'à mettì denàh	ha messo davanti quello bianco
e pò 'l gi à hchieràc fò tüc ilò ch'i batéå li ale	e quindi li ha schierati tutti che battevano le ali
e 'l 'gnìå l'àgolå	arriva l'aquila
culìch!	culìch!
culìch!	culìch!
culìch!	culìch!
— ciàpå chèl biànch	— prendi quello bianco
che 'l 'gnrà töc a' i óter! —	che verranno anche tutti gli altri! —
pòtå lé	pota lei
la hegòtà-å e 'gnì 'n gió	continuava ad abbassarsi
'gnì 'n gió	a venire giù
e 'gnì 'n gió	a venire giù
e 'gnì 'n gió	a venire giù
fìn che l'à ciapàt	ha afferrato
ol prìm	il primo
la l'à töt sö	l'ha sollevato
e rrrrrr!	e rrrrrr!
tüc che śbatìå li ale e la clòhå	tutti sbattevano le ali e la chioccia
crìt che la fà-å!	faceva versi
e lü l'è 'gnìt en sö	lui è tornato in su
— élå 'gnìdå l'àgolå?	— è venuta l'aquila?
— eéh	— eh
he éhet pò ìht màmå	— se avessi visto mamma!
he ghe héref gió	se ci fossi stata
avrèhef pò a' grignàt!	avresti riso!
che cuntét che l'érå l'àgolå	com'era contenta l'aquila
e i pu-ì	e i pulcini
amò a' piö cuntéc!	ancora di più!
e la clòhå	e la chioccia
e che canti che la fà-å	come cantava
cuntétå	contenta!
— ma n'arét fàt amó ünå	— ne avrai fatto ancora una
de 'nvérså?	all'incontrario?
fàm endà tüt e piche a' i pu-ì!	farmi perdere anche tutti i pulcini!
dumà te töet sö 'l tò bèl fagutì	domani prenderai il tuo fagottino
e te partihet —	e partirai —
e i a fàt sö 'l sò fagutì	ha fatto il fagottino:
— e pò te l' töet sö hö 'n sìmà a ü bastù	— lo attacchi in cima a un bastone
e pò 'à e hercà de fà 'l faméi	e vai a chiedere di fare il famiglio
a l'è 'ndàt en gió	è andato 
l'à ciapàt ün òm:	ha incontrato un uomo:
— 'ndét endoè te tuśilì	— dove vai ragazzino
con chèl fagutì gliò?	con quel fagottino?
— pòtå 'ndó per faméi	— vado a cercare di fare il famiglio
pòtå ma	pota ma
am töléf vù?	mi prende lei?
— éh ah mè t' töe	— sì, io ti prendo
ma basta che te fàet pò 'm pó	basta che tu faccia
i laùr 'm pó bé nèh —	le cose un po' bene —
pòtå lü 'l gh'è htàt ü méh ilò	lui è rimasto là un mese
e l'à vivìt bé	e ci stava bene
— edès	— adesso
mé ói endà e tru-à la mé màma	voglio andare a trovare mia madre
— mé te laghe 'ndà	— io ti lascio andare
ma regórdet	ma ricordati
mé de palanche te n'dó mìå nèh	che non ti dò soldi
mé gh'ó ché	io ho
ü bèl aśnì	un bell'asinello
àrdå	guarda:
aśnì	asinello
chìgå śechì!	caga zecchini! —
'é jó a ardà —	e giù a guardare
'l chigà-å fò tace hólc	cagava tanti soldi
— eéh	— eh
gliùrå — 'l dìs —	— allora
só pò cuntét!	sono proprio contento!
— dumà d'matìnå te partihet col tò aśnì	— domani mattina partirai col tuo asinello
ma	ma
diga nént a negü nèh!	non dir niente a nessuno
éh pòtå lü l'è 'gnìt en sö	lui è tornato in su
'l l'à tignìdå lóngå lü	ci ha impiegato tanto
ùrå che l'érå hö	prima di arrivare
l'è ri-àt el Dès la hérå	di sera è giunto al Dezzo
l'è 'ndàt en d'üna cà:	è entrato in una casa
— farèhet mìå 'l piahér	— non mi fareste il piacere
e lośàm 'esto aśnì?	di alloggiarmi questo asinello?
— éh pòtå	— sì
'm vel lośarà	ve lo alloggeremo
— ma	— ma
diśéi pò mìå	non dite
« aśnì	« asinello
chìgå śechì! »	caga zecchini! » —
nèh —	neh —
e pòtå lü l'è 'ndàt en dol lèt	lui è andato a letto
chi óter i è 'ndàt gió:	gli altri sono scesi:
aśnì	— asinello
chìgå śechì! —	caga zecchini! —
'l chigà-å fò hólc	cagava soldi
e lü la matìnå l'è leàt sö	al mattino si alza
i ghe l'éå cambiàt	gliel'avevano cambiato
l'à töt sö chèl óter aśnì	ha preso l'altro asinello
l'è 'ndàt sö cóla màmå	è andato da sua madre
e la màmå gnècå	e lei tutta arrabbiata
gnècå:	arrabbiata:
— rüspem pò a' ün àśen!	— portare un asino
a' ün aśnì de regulà ca gh'ó gna' 'l fé de dài!	da mantenere! non ho neanche il fieno da dargli!
— eéh	— eh
màmå	mamma
ciapé ü lensöl	prendete un lenzuolo
che m'endarà jó	che andrà giù
edarét	vedrete
che s-ciór che 'm sarà nó' —	come diventeremo ricchi! —
la màmå l'érå d'ünå bàndå col sò lensöl	la mamma era da un lato del lenzuolo
e lü da l'ótrå bàndå dol lensöl:	e lui dall'altro:
— aśnì	— asinello
chìgå śechì! —	caga zecchini! —
fò hòc	fuori merda!
hòc	fuori merda!
fò hòc	fuori merda!
l'à stri-àt sö tüt a' 'l lensöl	ha sporcato tutto il lenzuolo
'l n'à ciapàt üna batida	e lui s'è preso delle bastonate
— te filet	— vattene
té te égnet piö!	non tornare più!
turnàt e 'ndà là 'sto póer màrtir	il povero ragazzo se n'è andato ancora
pahàt gió	passato giù
— che gh'ét chè?	— cos'hai?
— pòta ma	— pota ma
la mama la m'à bastunàt perché	— mia madre mi ha bastonato perché
ol aśni 'l chigà-å mìå śechì!	l'asinello non cagava zecchini!
— ma	— ma
hét endàt endoè tè	— dove sei andato
con chèl aśnì gliò?	con l'asinello?
gli ét dàt en quàch cà?	sei andato in qualche casa?
— pòta hó 'ndàt el Dès	— mi sono fermato al Dezzo
perchè l'érå fósch... —	perché era buio —
e 'l gh'à cüntàt sö la stórgiå	gli ha raccontato la storia
— ma làgå stà de diglio!	— ma lascia stare di dirlo!
perchè te gli ét dìt? —	perché gliel'hai detto? —
pò gli à dàt sö	allora gli ha dato
ö taulì	un tavolino:
— àrdå	— guarda
chèhto che l'è 'l taulì-paréjå	questo è il tavolino-apparecchia
'é hà ché e ardà	vieni a vedere:
taulì paréjå! —	tavolino apparecchia! —
l'à parejàt de tüt	ha apparecchiato di tutto
d'ògne mangià	da mangiare
d'ògne bé-e	da bere
de tüt	di tutto
— ma	— ma
regórdet	ricordati
de dìl pò mìå nèh!	di non dirlo!
pòtå üt l'à fàt amó 'l śöch	lui ha fatto la stessa cosa
l'è 'gnìt en sö lü	è tornato in su
e lü l'è 'ndàt amó 'n chèlå cà	è andato in quella casa
l'è 'ndàt en dol lèt	s'è messo a letto
e dòpo l'è leàt sö:	poi si è alzato
— óter	— voi
diśéi pò mìå	non dite
« taulì paréjå! »	« tavolino apparecchia! »
nèh	neh
— ah nò nò	— no
nò' 'm ghe l' dìs mìå —	noi non lo diremo —
pòtå	pota
i l'à lagàt endà 'n dol lèt e pò li à dìt:	l'hanno lasciato andare a letto, poi hanno detto:
— taulì paréjå! —	— tavolino apparecchia! —
ah i à cantàl en chèlå hérå!	quella sera hanno cantato
i à cantàt	hanno cantato
i à mangiàt	mangiato
i à bi-ìt	bevuto
e lùr i ghe n'éå jó a' lùr	anche loro avevano un tavolo
ü cumpàgn del so	come il suo
lùr i ghe l'à baratàt	gliel'hanno cambiato
eéh la matìnå	al mattino
l'à töt sö	è partito
'l gh'éå l'asnì	aveva l'asinello
'l gh'éå 'l taulì	e il tavolino
öh li fómne i cìamà-å: — té	le donne chiamavano: — ehi
Juanìnå!	Giovannina!
— l'éra jà 'n có al paìs —	— era già all'ingresso del paese —
àrdel fò 'l tò Juanì!	guarda là il tuo Giovannino!
àrdå déter chèl che 'l gh'à hö!	guarda cos'ha con sé!
— madónå	— madonna
con d'ün aśnì	un asinello
e pà a' ü taulì!	e anche un tavolino!
ma faràl de che d'ü taulì?	cosa ne farà di un tavolo?
am gh'à nént de mète hö	non abbiamo niente da metterci sopra
öt fàm de che d'ü taulì?	cosa ne farà di un tavolo?
che ét töt sö ü taulì de fà chè?	perché ti sei preso un tavolino?
— ah hito hito màmà! — 'l dìs —	— zitta zitta, mamma!
ù màmå 'ndé e 'nvidà	andate ad invitare
i nòs' paréc	i nostri parenti
e pò dòpo	e poi dopo
edaré	poi vedrete
che 'm gh'arà de mangià e bé-e	avremo da mangiare e bere
pòtå	così
l'è 'ndàdå e 'nvidài	è andata a invitarli
preparàt ol sò taulì gliò:	lui ha preparato il suo tavolino:
— taulì paréjå! —	— tavolino apparecchia! —
'l paréjå nogót	non ha apparecchiato niente
— taulì paréjå! —	— tavolino apparecchia! —
nénte	niente
ünå bùnå fle-elàdå amò	s'è preso ancora un saqco di bastonate
— trìgå de 'gnì ché e martiriśàm! —	— smetti di venire a tormentarmi! —
l'è 'ndàt gió col padrù:	è tornato dal padrone:
— éh ma	— eh ma
perchè pò te gli a diśet?	— perché lo vai a dire?
hét pò mìå bù da fà hìto che lùr e la hà mìå? —	non sei capace di stare zitto che loro non lo sanno? —
l'è stàc già ü més	è rimasto là ancora un mese e poi:
— pòtå mé — 'l dìs —	— io
uré-e 'ndà e cà	vorrei andare a casa
ma dém em pó de palanche perchè la mé màmå la patéh la fàm nèh!	ma mi dia un po' di soldi perché mia madre patisce la fame!
la ghe n'à mìå	non ha niente
— mé te n' dó mìå	— io non te ne dò
he te hé bù de fà chèl che te 'é de fa	se farai come devi fare
te haré s-ciór	diventerai ricco
he te hé pò mìå bù ta lagaré pò stà	se invece non sarai capace, tralascerai
e gliùrå t' dó hö	adesso ti dò
la stàngå-pìcå-dài	la stanga-picchia-dai
tö hö che sta	prendila
t'edaré ca té te haré bù	vedrai che ci riuscirai
haré fürtünàt	sarai fortunato
l'è 'gnìt en sö cóla hò stanga	è tornato in su con la stanga
l'è 'ndàt amò 'n chèl pòst	è andato ancora al solito posto
— éh ma	— eh ma
ch'öt fàn de chè té ]uanì de chèlå stàngå gliò?	— cosa vuoi farne Giovannino di quella stanga?
— ah pòtå	— ah pota
metélå fò püh ala pórtå óter	— voi mettetela dietro la porta
che lé la fà nogót	lei non fa niente
la törö pò hö mè dumà de matìnå —	la prenderò io domani mattina —
l'è 'ndàt en dol lèt	è andato a letto
pò l'è leàt sö:	poi s'è rialzato:
— ma	— però
regordéf	ricordatevi
de dì mìå	di non dire
« stàngå pìcå dài! » —	« stanga picchia dai! » —
éh	eh
i gh'à mìå credìt lùr	loro non gli hanno dato retta
« àrdå matahì d'ü laùr!	« va' là mattacchione!
m'à fàt bèl a' i ótre ólte	siamo stati fortunati anche le altre volte
'm farà bèl a' 'st'óltå »	lo saremo anche questa volta »
e gliùrå i gh'à dìc:	allora hanno detto:
— stàngå pìcå dài!	— stanga picchia dai!
e déter de póls!	e dentro di buona lena!
e tüt cridùr	di gridare:
piö finìt!	non smettevano più
— Joanì	— Giovannino
per l'amùr di dio	per l'amor di dio
Joanì! —	Giovannino! —
e dòpo gliùrå i gh'à dàt sö	così gli han restituito
l'aśnì	l'asinello
ol sò de lü	proprio il suo
'l taulì	il suo tavolino
hò de lü	proprio il suo
e pà a' la stàngå	e anche la stanga
quànt a l'è ri-àt tré che 'n có al paìh	quando è arrivato all'inizio del paese
che l'è 'gnìt en sö cantando	camminava cantando
la màmå	e la mamma
stremìdå:	spaventata:
— edès	— adesso
'l me n' farà	me ne combinerà
pès de pès	peggio che peggio
e 'l gh'à a' ünå stàngå	ha una stanga
ün àśen	un asino
e pà a' ü tàol!	e anche un tavolino!
ma chèl tùh ilò l'è matahì	quel ragazzo è proprio matto
l'è de copà!	è da ammazzare!
— edès màmå — 'l dìs —	— adesso mamma
fé hito	zitta
edès	adesso
l'è ri-àt la fortünå —	è arrivata la fortuna —
l'à comensàt col aśnì:	ha cominciato con l'asinello
— 'gnì 'n gió	— venite
col lensöl!	col lenzuolo!
— éh ah am fide nogót mé!	— non mi fido più!
— aśnì	— asinello
chìgå śechì! —	caga zecchini! —
fò hólc	e giù soldi
fò hólc	e soldi
ma i n'à pò ciapàt di hólc!	ne hanno raccolti di soldi!
dòpo:	poi:
— edès màmå 'ndé e ciamé	— adesso mamma andate a chiamare
i nòs paréc	i nostri parenti
— éh ah	— eh ah
'ndó mìå mé perchè	— io non ci vado perché
te m' fé fà tüte li figüre	mi fai fare brutte figure
ah 'ndó mìå mé! —	io non ci vado! —
e gliùrå l'à metìt ol so taulì e pò:	ha preparato il tavolino e poi:
— taulì paréjå! —	— tavolino apparecchia! —
preparàt sà de tüt	ha apparecchiato di tutto
de mangia e de bé-e	da mangiare e da bere
e gliùrå l'è 'ndàdå e ciamà i sò paréc	allora è andata a chiamare i parenti
e gliò i se l'à gudìdå	e lì se la sono goduta
ah poarètå a' chèlå fómnå gliò	poveretta quella donna
la ś' l'à pò gudìdå dòpo!	anche lei dopo se l'è goduta!
Gh'érå üna dòna, la gh'éå	C'era una donna che aveva
trèi tuśe	tre figlie
e tüte li sére	tutte le sere
li gh'éa l'abitüdine de 'ndà al cimitéro a dì sö rośare	avevano l'abitudine di andare al cimitero a recitare il rosario
e lé al cimitéro 'l gh'éå piantàt üna röśa	là cresceva una rosa
ma nisü i la tucà-å	ma nessuno la coglieva
perchè i diśéå che chi che arés tucàt la röśå	perché dicevano che a chi toccava la rosa
'l ghe sarés mancàt ol teré sóta i pè	sarebbe mancato il terreno sotto i piedi
i sarés endàc gió cól mago	poi sarebbe sprofondato dal mago
pòta üna sérå	una sera
üna s-cètå	una delle figlie
lé l'è urida 'ndà fò a töla śgió	ha voluto coglierla
e 'l gh'è pròpe mancàt la téra sóta i pé	e le è proprio mancato il terreno sotto i piedi
l'è 'ndada śgió	è sprofondata
la s'è tru-àda śgió 'n d'üna stànså	si è trovata in una stanza
gh'éra śgió ü mago	dove c'era il mago
e lü 'l gh'à dìt:	che le ha detto:
— l'è 'm pó che te spetàe	— è un po' che ti aspetto
perchè gh'ó nigü	perché non ho nessuno
che me fà de mangià —	che mi prepari da mangiare —
gliò 'l gh'à fàt vède tüta la sò cà	le ha fatto visitare tutta la casa
e pò 'l gh'à metìt sö	poi le ha messo
üna bela röśå söl có	una bella rosa in testa
e 'l gh'à dìc: — però	dicendo:
'està stansa ché te la dèrvet mài	— non devi mai aprire questa stanza
perchè se te la derviré t'egniré punìdå	altrimenti verrai punita
lé per em pó l'à supurtàt	lei per un po' ha trattenuto
la curiuśità	la curiosità
ma dòpo	ma poi
la gh'è piö ri-àda, l'à dervìt	non c'è più riuscita, ha aperto quella porta
e 'n dol dèrve	e subito
gh'è 'gnìt fò üna fiàmå de föch	è uscita una fiamma
l' gh'à brüśàt la röśå	che le ha bruciato la rosa
a meśdé quàndo l'è 'gnìt a cà 'l mago a diśnà	a mezzogiorno, quando è tornato a casa per mangiare
lü l'à ìst che l'éå dervìt	il mago si è accorto che aveva aperto
e 'l gh'à dìt: — per peniténså	ha detto: — per penitenza
te gh'endaré de déter té —	ora ci entrerai tu —
e 'l l'à metida de dét	l'ha rinchiusa
'm pó tànt	e per tanto tempo
l'è stada śgió gliò de per lé	è rimasta là da sola
che 'l gh'àe pò dàt de mangià, che 'l gh'àe mìa dàt de mangia	che le desse o no da mangiare
me l' sà mìa	questo non lo sappiamo
dòpo lé de 'm pó l'è 'ndàt fò ün'ótra sò surèlå	dopo un po' un'altra sorella
l'à fàt el medéśim fàt	ha fatto la stessa cosa
a gh'à töt gió la röśa del cimitero	ha colto la rosa nel cimitero
e l'è furada śgió	è sprofondata
e 'l gh'à dìt:	e il mago le ha detto:
— te sé ché!... —	— ah sei qui!
e lé la gh'à dìt:	e lei ha detto:
— 'ndo éla mé surèlå? —	— dov'è mia sorella?
e 'l gh'à dìt:	e lui ha detto:
— ål só mìå	— non lo so
te fó ède la cà	ti faccio vedere la casa
però te racumande 'sta pórtå ché de dervila mìa —	ma ti raccomando di non aprire questa porta —
per em pó tànt	per un po' di tempo
la l'à mìa dervìdå	lei non l'ha aperta
dòpo	poi
la l'à dervida	l'ha socchiusa
e l'à fàt la medéśima fì	e ha fatto la stessa fine
perchè lé l'éra brüśàt la röśa a' lé	anche a lei è bruciata la rosa
lü 'l se n'è 'ncurśìt	così il mago se n'è accorto
e gliùra l'è 'ndada a finì	e la ragazza è andata a finire
dét en da stansa cóla surèlå	nella stanza con la sorella
lé de tànt	dopo tanto tempo
l'è 'ndada fò la tèrså surèlå	la terza sorella è andata
'n del cimitero	nel cimitero
a t'ö śgió la röśå	a cogliere la rosa
e l'è 'ndada śgió	ed è sprofondata
lé la gh'è stada śgió tànt	è rimasta laggiù a lungo
ma fìn che lé l'à fàt pasà tüte li stanse	finché s'è messa a cercare per le stanze
per sercà li sòi surèle	le sue sorelle
la śgi à mìa tru-àde de nigüne bande	senza però trovarle
« e só sigüra — la diśéå —	« sono sicura
li sarà amó dét en de 'sta stànså	che saranno in questa stanza
ma prima de davrì	ma prima di aprire
l'è mèi che töe śgió 'l laùr che gh'ó söl có	è meglio che tolga la rosa dalla testa
che se 'l me sücét gna' ergóta	così se mi succede qualcosa
'l se ne 'ncórge mìa »	il mago non si accorge »
'ssé l'à fàt	così ha fatto
e lé la gi à ìste li surèle	ha visto le due sorelle
lé la gh'à dìt:	e ha detto loro:
— ótre stì ché	— rimanete qui
che mé penseró	che io cercherò
a sercà 'l módo de aidàf	il modo per aiutarvi
e difati l'èra 'm pò tànt che la gh'éra śgió	passato un po' di tempo
e ü dé g'éra lé a mangià, la gh'à dìt essè al mago:	mentre un giorno stavano mangiando, dice al mago:
— pènse ala mé màmå pu-arìnå	— penso alla mia povera mamma
perchè la ghe n'à hö piö gna' ünà d'ü sòi tuśe	che non ha più nessuna delle sue figlie
che la gh'éå sö	sono sicura che avrà bisogno
e só sigürå che la s' tru-erà 'n biśògn	
la gh'arà gnè' üna palàncå de 'ndà a t'ö 'l mangià —	non avrà neppure un soldo per mangiare —
e lü 'l gh'à dìt:	il mago le ha risposto:
— 'm ghe n'à ché tante nù de palanche!	— noi abbiamo tanti soldi
sét mìa buna de fà fà sö üna bèla casètå gràndå	non sei capace di far costruire una cassetta grande
pò dòpo metì śgió li palanche che mé la sérå — 'l dìs —	e poi metterci i soldi, così io di sera
ghe 'l purteró 'n sö?	gliela porterei?
e 'ssè l'à fàt	e così ha fatto
l'à fàt fà sö üna bèla casèta granda	allora ha fatto costruire una cassetta molto grande
ca 'l ghe stà-a śgió üna surèlå	dove ci poteva stare una sorella
pò la gh'à metìt gió 'm pó de palanche	poi ha messo sopra un po' di soldi
pò la séra quàndo che l'è 'gnìt a cà	ha preparato la cena
lé la gh'à preparàt de sénå prèst	e quando il mago è tornato a casa
la gh'à fàt sà sénå	gli ha dato da mangiare
e pò la gh'à dàt sö la casèta e la gh'à dìt:	poi gli ha messo sulle spalle la cassetta dicendogli:
— però	però
guài a té se te póstet gió a devrila nèh!	— guai a te se l'appoggi in terra per aprirla!
— nò nò! —	— no no! —
'l gh'à 'mprumetìt che 'l l'arés mài davrìdå	lui le ha promesso che non l'avrebbe aperta
ma difati lü 'l l'à mài davrìdå	infatti non l'ha mai aperta
'l l'à purtada sö	l'ha portata su
